,cod_ship,Order ID,Order Date,Ship Date,Ship Mode,City
821,822,US-2017-158708,26/06/2017,29/06/2017,Second Class,Plano
822,823,CA-2016-156335,25/09/2016,28/09/2016,Second Class,Bayonne
823,824,CA-2016-148376,27/12/2016,31/12/2016,Standard Class,Los Angeles
824,825,CA-2015-135657,03/06/2015,07/06/2015,Second Class,Seattle
825,826,CA-2016-114069,13/07/2016,15/07/2016,Second Class,New York City
826,827,CA-2015-139857,02/02/2015,06/02/2015,Standard Class,San Diego
827,828,CA-2017-106306,08/03/2017,08/03/2017,Same Day,Glendale
828,829,CA-2016-100545,22/11/2016,26/11/2016,Standard Class,Philadelphia
829,830,CA-2018-123491,30/10/2018,05/11/2018,Standard Class,San Francisco
830,831,CA-2016-145401,30/01/2016,04/02/2016,Standard Class,Houston
831,832,US-2018-124968,08/09/2018,13/09/2018,Second Class,Chicago
832,833,CA-2018-104003,07/10/2018,13/10/2018,Standard Class,San Francisco
833,834,CA-2017-154788,30/04/2017,04/05/2017,Standard Class,New York City
834,835,CA-2017-169943,19/05/2017,24/05/2017,Standard Class,New York City
835,836,US-2016-123218,20/12/2016,25/12/2016,Standard Class,Chicago
836,837,CA-2016-127453,19/12/2016,20/12/2016,First Class,Philadelphia
837,838,US-2018-164056,29/04/2018,04/05/2018,Second Class,Dublin
838,839,CA-2017-106894,07/02/2017,07/02/2017,Same Day,Springfield
839,840,CA-2015-125136,28/09/2015,03/10/2015,Standard Class,Fayetteville
840,841,US-2017-131149,10/07/2017,14/07/2017,Standard Class,Dallas
841,842,CA-2018-101483,29/07/2018,01/08/2018,Second Class,Jacksonville
842,843,CA-2016-130204,03/09/2016,09/09/2016,Standard Class,San Francisco
843,844,CA-2015-110527,09/08/2015,16/08/2015,Standard Class,San Diego
844,845,CA-2018-152807,30/10/2018,03/11/2018,Standard Class,Philadelphia
845,846,CA-2015-133270,06/06/2015,09/06/2015,First Class,Rochester
846,847,CA-2017-155670,13/08/2017,17/08/2017,Second Class,Jacksonville
847,848,US-2015-157406,25/04/2015,29/04/2015,Standard Class,Houston
848,849,CA-2016-139094,22/11/2016,27/11/2016,Standard Class,San Antonio
849,850,CA-2018-168837,14/10/2018,17/10/2018,First Class,Oakland
850,851,CA-2018-116715,02/12/2018,05/12/2018,First Class,San Francisco
851,852,CA-2016-135622,08/12/2016,11/12/2016,Second Class,Fort Worth
852,853,US-2016-107349,13/07/2016,15/07/2016,First Class,Houston
853,854,CA-2015-139017,11/05/2015,17/05/2015,Standard Class,Houston
854,855,CA-2015-141817,05/01/2015,12/01/2015,Standard Class,Philadelphia
855,856,CA-2016-130785,05/09/2016,09/09/2016,Standard Class,San Diego
856,857,CA-2017-110254,04/08/2017,08/08/2017,Standard Class,Suffolk
857,858,US-2015-158057,22/03/2015,26/03/2015,Standard Class,Greensboro
858,859,CA-2018-146024,02/03/2018,08/03/2018,Standard Class,Dallas
859,860,CA-2017-129686,27/11/2017,29/11/2017,Second Class,Chicago
860,861,CA-2015-118976,28/04/2015,03/05/2015,Standard Class,Baltimore
861,862,CA-2016-105347,24/11/2016,28/11/2016,Standard Class,Los Angeles
862,863,CA-2017-124667,11/11/2017,16/11/2017,Standard Class,New York City
863,864,CA-2016-111094,09/07/2016,13/07/2016,Standard Class,Franklin
864,865,CA-2018-166317,22/09/2018,26/09/2018,Standard Class,Milwaukee
865,866,CA-2016-154326,15/02/2016,19/02/2016,Standard Class,Kenosha
866,867,CA-2015-102008,30/09/2015,04/10/2015,Standard Class,New York City
867,868,CA-2015-120474,01/12/2015,03/12/2015,First Class,Madison
868,869,CA-2015-104773,08/12/2015,13/12/2015,Standard Class,Houston
869,870,CA-2017-140774,05/09/2017,10/09/2017,Standard Class,Olathe
870,871,US-2018-139465,27/08/2018,30/08/2018,First Class,New York City
871,872,CA-2017-100965,07/07/2017,11/07/2017,Standard Class,San Jose
872,873,CA-2017-121034,08/08/2017,10/08/2017,Second Class,Dallas
873,874,CA-2017-149461,13/11/2017,19/11/2017,Standard Class,Auburn
874,875,CA-2018-158379,22/09/2018,26/09/2018,Second Class,Philadelphia
875,876,US-2017-116729,25/12/2017,28/12/2017,First Class,Los Angeles
876,877,CA-2017-164938,11/02/2017,13/02/2017,First Class,Tulsa
877,878,CA-2017-165484,23/10/2017,29/10/2017,Standard Class,Chicago
878,879,CA-2015-132612,09/06/2015,11/06/2015,Second Class,Harrisonburg
879,880,US-2018-161193,20/11/2018,26/11/2018,Standard Class,Newark
880,881,CA-2016-131597,14/09/2016,18/09/2016,Standard Class,Los Angeles
881,882,CA-2016-164833,04/06/2016,04/06/2016,Same Day,Seattle
882,883,CA-2016-125423,13/12/2016,15/12/2016,Second Class,Los Angeles
883,884,US-2015-130379,25/05/2015,29/05/2015,Standard Class,Chicago
884,885,CA-2017-168956,16/02/2017,20/02/2017,Standard Class,Chicago
885,886,CA-2017-167507,22/12/2017,28/12/2017,Standard Class,Redmond
886,887,CA-2017-109344,08/02/2017,11/02/2017,Second Class,Raleigh
887,888,US-2016-140851,13/07/2016,15/07/2016,Second Class,Macon
888,889,CA-2015-103373,18/05/2015,24/05/2015,Standard Class,Cleveland
889,890,CA-2018-145884,21/10/2018,21/10/2018,Same Day,Muskogee
890,891,CA-2016-131422,05/11/2016,09/11/2016,Standard Class,Monroe
891,892,CA-2018-162691,01/08/2018,07/08/2018,Standard Class,Austin
892,893,CA-2015-141278,21/06/2015,24/06/2015,First Class,Meriden
893,894,CA-2018-122693,19/02/2018,21/02/2018,Second Class,Roswell
894,895,CA-2015-117345,01/08/2015,05/08/2015,Standard Class,Charlotte
895,896,CA-2017-157763,18/07/2017,23/07/2017,Standard Class,Bowling Green
896,897,CA-2016-135391,09/02/2016,11/02/2016,Second Class,San Antonio
897,898,US-2018-113852,29/07/2018,02/08/2018,Standard Class,Seattle
898,899,US-2018-158512,12/01/2018,17/01/2018,Second Class,Washington
899,900,CA-2018-128370,10/09/2018,10/09/2018,Same Day,Los Angeles
900,901,CA-2016-160472,20/07/2016,25/07/2016,Second Class,South Bend
901,902,CA-2015-114643,13/06/2015,17/06/2015,Standard Class,Los Angeles
902,903,US-2018-158218,12/05/2018,15/05/2018,Second Class,Houston
903,904,CA-2016-121608,03/09/2016,05/09/2016,First Class,Bristol
904,905,US-2018-121251,26/03/2018,27/03/2018,First Class,New York City
905,906,CA-2015-151078,12/11/2015,12/11/2015,Same Day,San Antonio
906,907,US-2017-100839,13/10/2017,17/10/2017,Standard Class,Aurora
907,908,US-2018-116659,12/11/2018,12/11/2018,Same Day,Newark
908,909,CA-2018-118857,15/04/2018,18/04/2018,First Class,Henderson
909,910,CA-2016-127110,25/06/2016,01/07/2016,Standard Class,Philadelphia
910,911,CA-2017-148201,26/08/2017,29/08/2017,Second Class,Seattle
911,912,CA-2015-116932,21/07/2015,25/07/2015,Standard Class,San Francisco
912,913,CA-2018-142888,21/11/2018,25/11/2018,Standard Class,Spokane
913,914,CA-2015-147914,04/06/2015,09/06/2015,Standard Class,Columbus
914,915,US-2017-112977,10/03/2017,16/03/2017,Standard Class,Long Beach
915,916,CA-2018-112039,25/03/2018,29/03/2018,Standard Class,San Antonio
916,917,CA-2018-118885,29/12/2018,02/01/2019,Standard Class,Los Angeles
917,918,US-2018-166611,28/03/2018,02/04/2018,Standard Class,Jacksonville
918,919,CA-2016-109512,05/03/2016,05/03/2016,Same Day,New York City
919,920,CA-2017-118570,13/11/2017,17/11/2017,Standard Class,Philadelphia
920,921,CA-2018-154718,19/01/2018,23/01/2018,Second Class,Keller
921,922,CA-2017-147578,22/04/2017,26/04/2017,Second Class,San Francisco
922,923,CA-2015-140165,13/05/2015,15/05/2015,First Class,Hialeah
923,924,CA-2015-142587,21/10/2015,22/10/2015,First Class,Fairfield
924,925,CA-2015-157623,14/03/2015,18/03/2015,Standard Class,Huntington Beach
925,926,CA-2018-145310,22/12/2018,24/12/2018,Second Class,Port Orange
926,927,CA-2017-100083,24/11/2017,29/11/2017,Standard Class,Medford
927,928,US-2018-108063,02/12/2018,05/12/2018,First Class,Charlottesville
928,929,CA-2016-109197,31/12/2016,04/01/2017,Standard Class,Missoula
929,930,CA-2018-141789,03/10/2018,06/10/2018,First Class,Minneapolis
930,931,CA-2015-169775,29/08/2015,02/09/2015,Second Class,Miami
931,932,CA-2017-140543,29/06/2017,03/07/2017,Second Class,Florence
932,933,CA-2017-151141,20/08/2017,23/08/2017,First Class,Detroit
933,934,CA-2018-167094,21/10/2018,22/10/2018,First Class,Springfield
934,935,CA-2018-154410,21/10/2018,24/10/2018,First Class,Indianapolis
935,936,US-2017-150567,17/05/2017,21/05/2017,Standard Class,Apopka
936,937,CA-2016-157959,03/02/2016,04/02/2016,First Class,Los Angeles
937,938,CA-2018-105886,18/12/2018,23/12/2018,Standard Class,Oceanside
938,939,CA-2017-105963,15/11/2017,22/11/2017,Standard Class,Los Angeles
939,940,CA-2018-121503,03/07/2018,06/07/2018,Second Class,Houston
940,941,CA-2015-103366,15/01/2015,17/01/2015,First Class,Roswell
941,942,CA-2018-124597,30/04/2018,05/05/2018,Standard Class,Boynton Beach
942,943,CA-2016-105634,08/11/2016,14/11/2016,Standard Class,Franklin
943,944,CA-2016-123673,30/10/2016,01/11/2016,Second Class,Detroit
944,945,US-2018-111423,17/08/2018,19/08/2018,First Class,Watertown
945,946,CA-2016-125178,03/10/2016,09/10/2016,Standard Class,Reading
946,947,CA-2017-156685,08/07/2017,10/07/2017,Second Class,Arlington
947,948,CA-2018-126865,05/12/2018,07/12/2018,Second Class,San Diego
948,949,CA-2018-102834,09/03/2018,13/03/2018,Standard Class,San Francisco
949,950,US-2017-139710,09/06/2017,15/06/2017,Standard Class,Los Angeles
950,951,CA-2018-121538,28/11/2018,01/12/2018,First Class,Denver
951,952,US-2018-101539,16/03/2018,18/03/2018,Second Class,Seattle
952,953,CA-2017-152121,27/11/2017,29/11/2017,Second Class,Scottsdale
953,954,CA-2018-161200,06/08/2018,10/08/2018,Second Class,Lafayette
954,955,CA-2018-101245,27/11/2018,03/12/2018,Standard Class,San Francisco
955,956,CA-2016-141768,25/05/2016,27/05/2016,Second Class,San Francisco
956,957,CA-2017-112109,08/07/2017,12/07/2017,Standard Class,Broomfield
957,958,CA-2018-144064,29/08/2018,01/09/2018,First Class,Quincy
958,959,CA-2017-108581,20/06/2017,26/06/2017,Standard Class,Carrollton
959,960,CA-2018-157987,02/09/2018,06/09/2018,Standard Class,New York City
960,961,CA-2018-110905,10/09/2018,15/09/2018,Second Class,Springfield
961,962,CA-2018-165841,21/12/2018,28/12/2018,Standard Class,Paterson
962,963,CA-2018-117485,23/09/2018,29/09/2018,Standard Class,Tulsa
963,964,CA-2018-140242,06/05/2018,11/05/2018,Standard Class,Chicago
964,965,CA-2015-148950,14/12/2015,19/12/2015,Standard Class,Chicago
965,966,CA-2015-110408,18/10/2015,20/10/2015,Second Class,Montgomery
966,967,CA-2016-109939,08/05/2016,12/05/2016,Standard Class,Salem
967,968,CA-2017-112669,14/04/2017,14/04/2017,Same Day,Glendale
968,969,CA-2016-119592,14/12/2016,16/12/2016,Second Class,Columbus
969,970,CA-2015-122749,03/12/2015,09/12/2015,Standard Class,Oklahoma City
970,971,CA-2015-164721,25/11/2015,27/11/2015,Second Class,Brentwood
971,972,CA-2017-147417,25/07/2017,27/07/2017,First Class,Columbus
972,973,CA-2016-127509,09/11/2016,13/11/2016,Standard Class,Springfield
973,974,CA-2018-111374,24/02/2018,28/02/2018,Standard Class,Philadelphia
974,975,CA-2018-133648,25/06/2018,02/07/2018,Standard Class,Springfield
975,976,US-2018-147221,02/12/2018,04/12/2018,Second Class,Houston
976,977,CA-2015-131905,06/02/2015,09/02/2015,First Class,Chesapeake
977,978,CA-2018-166128,11/04/2018,18/04/2018,Standard Class,Pasadena
978,979,CA-2018-163510,25/12/2018,28/12/2018,Second Class,Louisville
979,980,US-2018-143028,11/04/2018,18/04/2018,Standard Class,Lubbock
980,981,CA-2015-111150,31/12/2015,04/01/2016,Standard Class,Columbia
981,982,CA-2018-165386,03/08/2018,04/08/2018,First Class,Chicago
982,983,CA-2015-116407,15/11/2015,21/11/2015,Standard Class,Johnson City
983,984,CA-2016-155761,11/12/2016,11/12/2016,Same Day,Houston
984,985,CA-2017-145905,18/09/2017,23/09/2017,Standard Class,Auburn
985,986,CA-2016-113110,19/03/2016,23/03/2016,Standard Class,San Bernardino
986,987,CA-2017-168354,19/09/2017,21/09/2017,First Class,Providence
987,988,US-2018-111241,20/08/2018,22/08/2018,Second Class,Fresno
988,989,CA-2016-114237,13/03/2016,15/03/2016,First Class,Seattle
989,990,CA-2017-113516,08/09/2017,10/09/2017,Second Class,Lancaster
990,991,CA-2016-117961,26/11/2016,30/11/2016,Standard Class,Leominster
991,992,CA-2017-128923,09/12/2017,13/12/2017,Standard Class,Fort Worth
992,993,CA-2018-162481,25/09/2018,29/09/2018,Standard Class,Rochester
993,994,CA-2016-119214,23/01/2016,27/01/2016,Standard Class,Bozeman
994,995,CA-2016-122287,18/06/2016,23/06/2016,Standard Class,Peoria
995,996,CA-2016-104493,02/10/2016,08/10/2016,Standard Class,San Diego
996,997,US-2018-158946,18/11/2018,23/11/2018,Standard Class,Lakewood
997,998,CA-2015-129168,17/08/2015,23/08/2015,Standard Class,Houston
998,999,CA-2017-131835,17/07/2017,21/07/2017,Standard Class,Perth Amboy
999,1000,CA-2016-142237,11/07/2016,13/07/2016,First Class,Philadelphia
1000,1001,CA-2017-136434,01/12/2017,07/12/2017,Standard Class,Richmond
1001,1002,CA-2018-120376,22/12/2018,25/12/2018,First Class,Detroit
1002,1003,CA-2015-106439,31/10/2015,04/11/2015,Standard Class,Los Angeles
1003,1004,CA-2016-133452,13/04/2016,19/04/2016,Standard Class,Pomona
1004,1005,CA-2017-146521,21/07/2017,23/07/2017,Second Class,Philadelphia
1005,1006,US-2018-110996,20/11/2018,25/11/2018,Standard Class,Ontario
1006,1007,CA-2017-129693,26/11/2017,02/12/2017,Standard Class,Seattle
1007,1008,CA-2018-122504,07/11/2018,12/11/2018,Second Class,Brentwood
1008,1009,CA-2015-131051,01/12/2015,05/12/2015,Standard Class,San Francisco
1009,1010,CA-2018-140676,12/09/2018,15/09/2018,First Class,Baltimore
1010,1011,CA-2016-120103,24/12/2016,29/12/2016,Standard Class,Phoenix
1011,1012,CA-2018-104647,23/02/2018,01/03/2018,Standard Class,Los Angeles
1012,1013,CA-2015-110352,23/11/2015,29/11/2015,Standard Class,Houston
1013,1014,CA-2017-140501,23/06/2017,28/06/2017,Standard Class,New York City
1014,1015,CA-2016-139290,26/10/2016,30/10/2016,Standard Class,Rancho Cucamonga
1015,1016,CA-2018-166142,15/07/2018,19/07/2018,Standard Class,Wilmington
1016,1017,CA-2015-145926,17/11/2015,21/11/2015,Standard Class,Moorhead
1017,1018,CA-2016-149678,13/04/2016,15/04/2016,Second Class,Farmington
1018,1019,US-2016-164357,25/11/2016,29/11/2016,Standard Class,Wilmington
1019,1020,US-2017-146570,15/05/2017,20/05/2017,Standard Class,Jackson
1020,1021,CA-2018-124401,07/09/2018,12/09/2018,Standard Class,Portland
1021,1022,US-2015-140116,10/03/2015,17/03/2015,Standard Class,Denver
1022,1023,CA-2015-123295,18/07/2015,18/07/2015,Same Day,Tucson
1023,1024,CA-2018-167101,24/03/2018,28/03/2018,Second Class,New York City
1024,1025,US-2015-167633,30/09/2015,05/10/2015,Standard Class,Boynton Beach
1025,1026,US-2015-152723,26/09/2015,26/09/2015,Same Day,Mesquite
1026,1027,CA-2016-164882,31/10/2016,31/10/2016,Same Day,Redlands
1027,1028,CA-2016-159786,12/10/2016,17/10/2016,Second Class,Rochester
1028,1029,CA-2017-130267,19/09/2017,23/09/2017,Standard Class,Stockton
1029,1030,CA-2018-155460,13/04/2018,15/04/2018,First Class,Seattle
1030,1031,US-2018-168690,07/01/2018,13/01/2018,Standard Class,Ormond Beach
1031,1032,CA-2018-158246,09/11/2018,11/11/2018,First Class,Sunnyvale
1032,1033,CA-2018-167381,22/09/2018,24/09/2018,Second Class,Lansing
1033,1034,CA-2018-144862,01/12/2018,05/12/2018,Standard Class,Philadelphia
1034,1035,CA-2015-126032,23/06/2015,28/06/2015,Standard Class,Philadelphia
1035,1036,CA-2016-134859,04/10/2016,09/10/2016,Standard Class,Philadelphia
1036,1037,US-2015-114188,20/05/2015,22/05/2015,Second Class,Dover
1037,1038,CA-2016-156524,20/11/2016,26/11/2016,Standard Class,New York City
1038,1039,CA-2016-122210,30/11/2016,04/12/2016,Standard Class,Philadelphia
1039,1040,CA-2016-156377,31/12/2016,05/01/2017,Standard Class,Grand Prairie
1040,1041,US-2018-157896,16/11/2018,16/11/2018,Same Day,New York City
1041,1042,CA-2015-159520,06/06/2015,11/06/2015,Standard Class,Long Beach
1042,1043,CA-2017-155481,01/09/2017,05/09/2017,Standard Class,Philadelphia
1043,1044,US-2017-152051,25/06/2017,29/06/2017,Standard Class,York
1044,1045,CA-2015-141607,12/12/2015,17/12/2015,Standard Class,Concord
1045,1046,CA-2018-102771,31/03/2018,05/04/2018,Standard Class,New York City
1046,1047,US-2018-139969,19/11/2018,26/11/2018,Standard Class,College Station
1047,1048,CA-2015-167360,24/11/2015,29/11/2015,Second Class,Saint Louis
1048,1049,CA-2016-123505,22/11/2016,26/11/2016,Standard Class,Quincy
1049,1050,CA-2017-117282,14/07/2017,18/07/2017,Standard Class,New York City
1050,1051,US-2017-120460,30/04/2017,05/05/2017,Standard Class,Dallas
1051,1052,CA-2017-111115,25/07/2017,27/07/2017,Second Class,Los Angeles
1052,1053,CA-2015-124646,22/06/2015,24/06/2015,First Class,Minneapolis
1053,1054,CA-2018-148166,21/10/2018,26/10/2018,Standard Class,Deltona
1054,1055,CA-2017-159737,03/09/2017,09/09/2017,Standard Class,Chicago
1055,1056,CA-2017-141019,14/05/2017,14/05/2017,Same Day,Cincinnati
1056,1057,CA-2017-101938,07/01/2017,12/01/2017,Standard Class,Oakland
1057,1058,CA-2018-166296,13/03/2018,19/03/2018,Standard Class,Manteca
1058,1059,CA-2017-154018,13/10/2017,19/10/2017,Standard Class,Laredo
1059,1060,CA-2018-117870,27/01/2018,30/01/2018,Second Class,Kent
1060,1061,US-2018-137491,19/11/2018,25/11/2018,Standard Class,San Angelo
1061,1062,CA-2015-152296,01/08/2015,03/08/2015,First Class,San Francisco
1062,1063,CA-2017-112025,30/07/2017,04/08/2017,Standard Class,Houston
1063,1064,CA-2016-132507,30/07/2016,03/08/2016,Second Class,Houston
1064,1065,CA-2017-125738,15/10/2017,21/10/2017,Standard Class,Salt Lake City
1065,1066,CA-2017-128818,07/05/2017,11/05/2017,Standard Class,New York City
1066,1067,CA-2018-124576,01/08/2018,04/08/2018,Second Class,Salinas
1067,1068,CA-2017-101378,14/07/2017,14/07/2017,Same Day,Huntsville
1068,1069,CA-2018-143063,10/08/2018,15/08/2018,Standard Class,Columbus
1069,1070,CA-2017-118913,25/06/2017,29/06/2017,Standard Class,Los Angeles
1070,1071,CA-2017-128412,10/12/2017,17/12/2017,Standard Class,Seattle
1071,1072,CA-2017-136483,01/12/2017,06/12/2017,Standard Class,Knoxville
1072,1073,CA-2015-163013,28/11/2015,04/12/2015,Standard Class,Montgomery
1073,1074,CA-2016-135363,28/03/2016,02/04/2016,Standard Class,Philadelphia
1074,1075,US-2015-165659,01/06/2015,06/06/2015,Standard Class,Little Rock
1075,1076,CA-2016-138002,06/09/2016,12/09/2016,Standard Class,Seattle
1076,1077,CA-2016-128860,29/06/2016,05/07/2016,Standard Class,Lancaster
1077,1078,CA-2017-164350,10/09/2017,12/09/2017,Second Class,Bristol
1078,1079,US-2015-103905,14/07/2015,20/07/2015,Standard Class,Aurora
1079,1080,CA-2016-129854,22/08/2016,26/08/2016,Standard Class,New York City
1080,1081,CA-2015-125556,14/11/2015,16/11/2015,Second Class,Fairfield
1081,1082,CA-2017-162313,27/11/2017,30/11/2017,First Class,Lincoln Park
1082,1083,CA-2018-107874,21/11/2018,25/11/2018,Standard Class,New York City
1083,1084,CA-2018-129378,01/10/2018,02/10/2018,First Class,San Jose
1084,1085,CA-2015-151953,20/09/2015,25/09/2015,Standard Class,Jacksonville
1085,1086,CA-2018-130841,28/07/2018,01/08/2018,Standard Class,San Francisco
1086,1087,CA-2016-131884,06/12/2016,06/12/2016,Same Day,Marion
1087,1088,CA-2018-121909,31/07/2018,05/08/2018,Standard Class,Philadelphia
1088,1089,CA-2017-106383,19/03/2017,21/03/2017,Second Class,Littleton
1089,1090,CA-2018-130771,29/07/2018,03/08/2018,Standard Class,Austin
1090,1091,CA-2017-139157,01/10/2017,05/10/2017,Standard Class,New York City
1091,1092,CA-2015-128055,31/03/2015,05/04/2015,Standard Class,San Francisco
1092,1093,CA-2018-157091,26/06/2018,01/07/2018,Standard Class,La Porte
1093,1094,CA-2018-132122,09/07/2018,14/07/2018,Standard Class,Chicago
1094,1095,CA-2016-123232,14/12/2016,16/12/2016,Second Class,Portland
1095,1096,CA-2018-104066,05/12/2018,10/12/2018,Standard Class,Burlington
1096,1097,CA-2016-145849,15/09/2016,17/09/2016,Second Class,Indianapolis
1097,1098,CA-2017-122322,15/07/2017,21/07/2017,Standard Class,Provo
1098,1099,CA-2018-166849,20/04/2018,26/04/2018,Standard Class,Chicago
1099,1100,CA-2017-146633,15/11/2017,17/11/2017,Second Class,Los Angeles
1100,1101,US-2017-126893,26/11/2017,01/12/2017,Standard Class,Philadelphia
1101,1102,CA-2018-103380,21/11/2018,25/11/2018,Standard Class,Pasadena
1102,1103,CA-2016-116092,15/02/2016,18/02/2016,Second Class,Los Angeles
1103,1104,CA-2017-117849,15/04/2017,17/04/2017,Second Class,San Diego
1104,1105,CA-2016-169201,28/09/2016,01/10/2016,First Class,San Francisco
1105,1106,CA-2017-164091,17/09/2017,22/09/2017,Standard Class,Bangor
1106,1107,CA-2018-105214,16/06/2018,19/06/2018,First Class,San Francisco
1107,1108,CA-2016-117611,08/11/2016,10/11/2016,Second Class,San Diego
1108,1109,US-2016-137960,18/12/2016,18/12/2016,Same Day,New York City
1109,1110,CA-2018-122994,06/02/2018,09/02/2018,First Class,Arlington
1110,1111,CA-2017-131065,14/11/2017,16/11/2017,Second Class,Atlanta
1111,1112,CA-2018-149146,12/10/2018,12/10/2018,Same Day,Monroe
1112,1113,CA-2018-137470,17/09/2018,17/09/2018,Same Day,Seattle
1113,1114,CA-2018-105480,20/12/2018,26/12/2018,Standard Class,Rochester
1114,1115,CA-2018-164917,02/12/2018,07/12/2018,Standard Class,Miami
1115,1116,CA-2016-102036,21/09/2016,27/09/2016,Standard Class,Seattle
1116,1117,CA-2016-142944,06/03/2016,11/03/2016,Standard Class,San Francisco
1117,1118,CA-2015-157882,03/10/2015,08/10/2015,Second Class,Los Angeles
1118,1119,CA-2015-104283,27/06/2015,01/07/2015,Standard Class,Southaven
1119,1120,CA-2018-142622,30/10/2018,02/11/2018,First Class,Seattle
1120,1121,CA-2017-132143,03/09/2017,05/09/2017,First Class,Middletown
1121,1122,CA-2016-153108,05/03/2016,09/03/2016,Standard Class,New Castle
1122,1123,CA-2017-112676,05/05/2017,08/05/2017,First Class,Murfreesboro
1123,1124,CA-2018-165687,17/11/2018,23/11/2018,Standard Class,Salem
1124,1125,US-2018-112928,01/06/2018,05/06/2018,Second Class,Toledo
1125,1126,CA-2018-143343,10/06/2018,13/06/2018,First Class,Los Angeles
1126,1127,CA-2018-115154,08/01/2018,11/01/2018,First Class,Seattle
1127,1128,CA-2016-149342,20/04/2016,25/04/2016,Standard Class,Columbus
1128,1129,CA-2016-130995,01/11/2016,06/11/2016,Standard Class,New York City
1129,1130,CA-2018-127929,23/12/2018,27/12/2018,Standard Class,Middletown
1130,1131,CA-2016-113145,01/11/2016,05/11/2016,Standard Class,New York City
1131,1132,CA-2015-162362,14/11/2015,18/11/2015,Standard Class,Midland
1132,1133,CA-2017-106558,17/01/2017,21/01/2017,Standard Class,Columbus
1133,1134,CA-2018-157931,17/09/2018,22/09/2018,Second Class,Roswell
1134,1135,CA-2017-115574,23/12/2017,24/12/2017,First Class,Chicago
1135,1136,CA-2016-160794,06/08/2016,08/08/2016,First Class,Houston
1136,1137,CA-2018-116225,05/11/2018,09/11/2018,Standard Class,New York City
1137,1138,US-2018-120418,11/06/2018,12/06/2018,First Class,Peoria
1138,1139,CA-2018-122035,20/07/2018,25/07/2018,Standard Class,Sioux Falls
1139,1140,CA-2016-117828,23/12/2016,26/12/2016,First Class,Richmond
1140,1141,CA-2018-165491,20/03/2018,24/03/2018,Standard Class,Seattle
1141,1142,CA-2016-109470,31/12/2016,03/01/2017,Second Class,Henderson
1142,1143,CA-2016-105102,15/09/2016,19/09/2016,Second Class,New York City
1143,1144,CA-2018-138422,23/09/2018,26/09/2018,First Class,Fort Collins
1144,1145,US-2016-147739,25/12/2016,29/12/2016,Standard Class,Philadelphia
1145,1146,CA-2017-155187,24/09/2017,26/09/2017,Second Class,Los Angeles
1146,1147,CA-2018-169285,21/03/2018,25/03/2018,Standard Class,Lafayette
1147,1148,CA-2015-140886,30/09/2015,04/10/2015,Standard Class,Clarksville
1148,1149,CA-2018-152695,10/12/2018,10/12/2018,Same Day,Fairfield
1149,1150,CA-2015-110639,23/08/2015,23/08/2015,Same Day,New York City
1150,1151,CA-2015-121727,19/08/2015,24/08/2015,Standard Class,Columbus
1151,1152,CA-2017-137736,10/11/2017,15/11/2017,Standard Class,Warner Robins
1152,1153,US-2015-143231,31/12/2015,03/01/2016,First Class,Franklin
1153,1154,US-2015-155894,26/07/2015,30/07/2015,Second Class,Chicago
1154,1155,CA-2017-119025,22/02/2017,28/02/2017,Standard Class,Milwaukee
1155,1156,CA-2017-159373,13/03/2017,18/03/2017,Standard Class,San Antonio
1156,1157,CA-2018-109701,02/12/2018,03/12/2018,Same Day,Los Angeles
1157,1158,CA-2016-111514,31/08/2016,02/09/2016,First Class,San Francisco
1158,1159,US-2015-148838,17/03/2015,21/03/2015,Standard Class,New York City
1159,1160,CA-2018-136497,16/04/2018,20/04/2018,Standard Class,Columbus
1160,1161,US-2017-108637,13/03/2017,18/03/2017,Standard Class,Waynesboro
1161,1162,CA-2015-102295,24/11/2015,26/11/2015,Second Class,Sacramento
1162,1163,CA-2018-123659,10/02/2018,13/02/2018,First Class,Clinton
1163,1164,US-2017-129469,23/09/2017,27/09/2017,Standard Class,Fairfield
1164,1165,CA-2018-155152,07/07/2018,09/07/2018,Second Class,Warwick
1165,1166,CA-2017-159940,07/07/2017,11/07/2017,Second Class,Aurora
1166,1167,CA-2018-119669,24/01/2018,30/01/2018,Standard Class,Smyrna
1167,1168,US-2015-164616,19/08/2015,21/08/2015,Second Class,Columbus
1168,1169,CA-2016-148628,06/12/2016,11/12/2016,Standard Class,Thousand Oaks
1169,1170,CA-2017-118052,06/05/2017,10/05/2017,Standard Class,Lorain
1170,1171,US-2018-117534,25/03/2018,26/03/2018,First Class,Fresno
1171,1172,CA-2016-145065,12/12/2016,15/12/2016,First Class,San Diego
1172,1173,US-2016-127040,06/12/2016,10/12/2016,Standard Class,New York City
1173,1174,CA-2017-128111,17/03/2017,23/03/2017,Standard Class,Malden
1174,1175,CA-2016-137897,14/11/2016,19/11/2016,Standard Class,New York City
1175,1176,CA-2018-169264,14/08/2018,16/08/2018,Second Class,San Francisco
1176,1177,CA-2018-147361,09/09/2018,15/09/2018,Standard Class,Florence
1177,1178,CA-2018-145877,01/04/2018,04/04/2018,Second Class,Springfield
1178,1179,US-2017-110170,27/09/2017,03/10/2017,Standard Class,Huntsville
1179,1180,CA-2018-108574,07/10/2018,11/10/2018,Standard Class,Los Angeles
1180,1181,CA-2018-144589,20/01/2018,25/01/2018,Standard Class,San Francisco
